gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Robert Lewandowski,3–0,50.0,45.0,9,POL,FW,32.077,90,1,2,1,1,3,0,0,0,39,0,0,0,1.3,0.5,0.1,5,3,21,27,77.8,4,22,1,0,0,272,58,8,10,80.0,8,10,80.0,1,1,100.0,0.2,2,2,3,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,15,22,8,38,,0,,120,29,3,0,6,2,34,10,0,3,1,3,1,0,0,3,0,1,0.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Serge Gnabry,3–0,25.0,45.0,7,GER,LW,25.181,72,3,0,0,0,5,3,0,0,53,3,2,0,1.0,1.0,0.8,6,1,32,40,80.0,3,28,2,2,0,455,84,19,21,90.5,10,12,83.3,1,2,50.0,0.6,3,1,3,1,37,1,0,0,0,2,1,0,0,0,0,2,0,1,1,0,2,2,2,100.0,0,0,0,5,0,0,0,1,19,33,11,53,0.0,2,100.0,128,78,4,2,2,1,42,6,0,1,0,0,0,0,0,5,0,2,0.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,   Jamal Musiala,3–0,9999.0,9999.0,42,GER,LW,17.562,18,1,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,0,0,6,7,85.7,1,5,1,2,1,66,21,3,4,75.0,2,2,100.0,0,0,,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,6,2,10,50.0,1,50.0,34,22,0,1,1,0,9,1,0,0,0,0,0,0,0,1,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Leroy Sané,3–0,66.67,30.0,10,GER,RW,24.688,72,1,2,0,0,2,2,0,0,29,0,0,3,0.4,0.4,1.4,6,2,15,19,78.9,3,17,4,3,1,194,49,11,13,84.6,3,4,75.0,1,1,100.0,0.8,5,0,2,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,2,0,0,0,0,3,6,20,7,29,33.3,2,66.7,144,97,1,2,2,2,24,9,0,0,1,0,0,0,0,2,0,1,0.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,   Mickaël Cuisance,3–0,9999.0,9999.0,11,FRA,RW,21.09,18,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,4,1,0,0,130,4,4,4,100.0,5,5,100.0,0,1,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,8,4,0,12,,0,,24,22,0,0,0,2,9,1,0,0,0,0,0,0,0,2,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Thomas Müller,3–0,83.33,30.0,25,GER,AM,31.014,82,1,1,0,0,1,1,0,0,61,3,2,0,0.1,0.1,0.1,3,2,34,49,69.4,5,20,0,1,1,601,148,13,16,81.3,13,20,65.0,6,6,100.0,0.2,2,4,3,1,42,7,1,0,0,2,4,1,0,0,0,0,2,3,0,1,2,2,4,50.0,2,0,0,5,0,0,0,6,24,31,6,61,100.0,0,0.0,73,16,0,0,2,1,41,5,0,2,0,0,0,0,0,6,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,   Joshua Zirkzee,3–0,9999.0,9999.0,14,NED,AM,19.326,8,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0,13,4,1,1,100.0,0,0,,0,0,,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,100.0,0,0,0,1,0,0,0,0,2,1,0,3,,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Joshua Kimmich,3–0,33.33,25.0,6,GER,DM,25.611,90,0,2,0,0,2,1,1,0,85,1,1,2,0.4,0.4,0.5,9,4,66,72,91.7,11,41,1,1,0,1397,665,22,23,95.7,24,26,92.3,14,17,82.4,0.7,4,9,4,0,61,11,2,3,2,5,1,8,3,1,0,0,0,1,0,1,0,1,2,50.0,1,0,2,2,1,0,2,17,39,29,2,85,0.0,1,100.0,231,101,2,0,3,2,60,0,0,1,3,0,0,0,0,8,1,0,100.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Leon Goretzka,3–0,75.0,45.0,18,GER,DM,25.616,50,1,0,0,0,2,1,0,0,38,0,1,0,0.1,0.1,0.0,2,0,31,35,88.6,3,29,1,1,1,659,158,5,7,71.4,23,23,100.0,3,4,75.0,0.0,0,1,1,0,34,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,1,0,0,0,7,27,6,1,38,100.0,0,0.0,169,82,1,0,0,1,28,0,0,0,0,0,0,0,0,6,1,1,50.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,   Corentin Tolisso,3–0,9999.0,9999.0,24,FRA,DM,26.126,40,0,0,0,0,2,1,0,0,34,0,0,0,0.4,0.4,0.0,4,2,28,31,90.3,2,17,0,1,1,506,179,12,13,92.3,8,8,100.0,6,7,85.7,0.1,1,3,1,0,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,5,20,9,2,34,100.0,0,0.0,78,44,2,0,1,0,28,1,0,0,2,0,0,0,0,5,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Lucas Hernández,3–0,16.67,15.0,21,FRA,LB,24.595,90,0,0,0,0,0,0,0,0,78,2,1,4,0.0,0.0,0.0,1,1,52,66,78.8,3,34,2,3,1,907,195,19,22,86.4,27,34,79.4,4,4,100.0,0.1,0,4,1,0,58,8,2,0,1,5,6,0,0,0,0,0,3,2,2,0,0,1,2,50.0,1,0,4,3,0,0,0,8,50,21,2,78,33.3,2,66.7,203,113,3,0,2,1,53,10,0,0,3,0,0,0,0,5,2,0,100.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Jérôme Boateng,3–0,66.67,15.0,17,GER,CB,32.041,72,0,0,0,0,1,0,0,0,72,1,1,1,0.0,0.0,0.0,1,0,60,65,92.3,4,44,0,0,0,1290,523,15,16,93.8,34,35,97.1,10,12,83.3,0.0,0,5,0,0,62,2,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,100.0,0,1,0,2,2,0,5,33,34,5,1,72,,0,,203,103,2,0,0,0,55,0,0,0,1,0,0,0,0,3,2,0,100.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,   Chris Richards,3–0,9999.0,9999.0,41,USA,CB,20.477,18,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,19,20,95.0,0,14,0,0,0,361,123,6,6,100.0,11,12,91.7,2,2,100.0,0.0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,12,9,0,0,21,,0,,57,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Niklas Süle,3–0,33.33,15.0,4,GER,CB,25.041,90,0,0,0,0,1,0,0,0,106,2,1,0,0.1,0.1,0.0,0,0,91,98,92.9,8,55,0,0,0,1947,800,19,19,100.0,62,65,95.4,10,13,76.9,0.0,0,6,0,0,95,3,2,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,,0,0,0,3,3,0,7,44,60,2,1,106,,0,,228,129,1,0,0,0,82,0,0,1,0,0,0,0,0,7,2,0,100.0
