gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Dodi Lukebakio,0–1,50.0,45.0,11,BEL,FW,23.195,84,0,0,0,0,1,1,0,0,39,2,0,2,0.1,0.1,0.0,1,0,23,30,76.7,0,26,1,2,2,397,25,12,15,80.0,9,10,90.0,2,2,100.0,0.0,1,0,0,0,29,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,100.0,0,0,2,2,0,0,0,2,24,13,4,39,100.0,0,0.0,175,56,0,0,3,3,32,8,0,3,3,0,0,0,0,5,3,3,50.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,   Maximilian Mittelstädt,0–1,9999.0,9999.0,17,GER,LM,23.715,6,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,1,0,3,6,50.0,0,5,0,0,0,36,10,2,3,66.7,1,2,50.0,0,0,,0.0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,1,0,0,2,4,3,0,9,,0,,7,2,0,0,1,0,5,1,0,1,0,0,0,0,0,1,0,0,
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Matheus Cunha,0–1,25.0,45.0,10,BRA,"LW,RM,FW",21.523,89,0,0,0,0,1,1,1,0,56,2,0,0,0.0,0.0,0.2,5,1,30,42,71.4,4,36,3,6,4,580,186,13,16,81.3,12,15,80.0,4,5,80.0,0.2,2,3,0,0,34,8,3,0,0,6,1,4,2,0,0,0,5,1,0,2,0,0,2,0.0,2,0,0,2,0,0,0,2,25,30,0,56,66.7,2,33.3,285,96,4,0,5,3,41,2,0,5,1,0,0,0,0,5,2,1,66.7
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,   Mathew Leckie,0–1,9999.0,9999.0,7,AUS,FW,29.833,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Lucas Tousart,0–1,83.33,40.0,29,FRA,RW,23.6,45,0,0,0,0,0,0,0,0,34,1,2,1,0.0,0.0,0.0,1,0,27,29,93.1,3,24,0,0,0,637,80,5,6,83.3,17,17,100.0,5,6,83.3,0.0,0,2,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,100.0,0,1,0,3,0,0,1,4,28,2,0,34,,0,,81,27,0,0,0,2,23,0,0,0,1,0,0,0,0,4,2,0,100.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,   Javairô Dilrosun,0–1,9999.0,9999.0,16,NED,"LM,RM",22.452,45,0,1,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.1,1,1,24,28,85.7,0,25,3,2,1,426,15,11,12,91.7,10,13,76.9,2,2,100.0,0.1,1,1,1,1,27,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,23,11,1,34,50.0,1,50.0,209,76,0,1,2,0,25,7,0,0,0,0,0,0,0,1,0,0,
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Vladimír Darida,0–1,66.67,15.0,6,CZE,AM,30.323,45,0,0,0,0,2,0,0,0,30,0,0,0,0.1,0.1,0.0,0,0,21,25,84.0,2,18,0,0,0,416,28,11,12,91.7,6,6,100.0,4,6,66.7,0.0,0,0,0,0,23,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,18,10,1,30,,0,,132,30,1,0,1,0,21,4,0,0,0,0,0,0,0,2,0,2,0.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,   Krzysztof Piątek,0–1,9999.0,9999.0,9,POL,FW,25.427,45,2,0,0,0,4,3,0,0,18,0,0,0,0.2,0.2,0.0,0,0,8,9,88.9,0,9,1,0,0,94,1,8,8,100.0,0,1,0.0,0,0,,0.0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,0,3,3,5,10,3,18,,0,,30,11,0,1,0,1,11,2,0,1,0,0,0,0,0,0,2,1,66.7
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Mattéo Guendouzi,0–1,33.33,25.0,8,FRA,"CM,DM",21.641,90,0,0,0,0,1,1,0,0,98,0,0,2,0.1,0.1,0.0,1,0,74,88,84.1,9,80,5,2,0,1500,442,27,29,93.1,38,43,88.4,9,15,60.0,0.1,1,11,2,0,86,2,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0.0,2,0,2,0,1,0,2,9,71,18,1,98,0.0,2,100.0,521,247,3,0,2,1,83,8,0,2,2,0,0,0,0,7,0,1,0.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Niklas Stark,0–1,33.33,15.0,5,GER,"CM,DM",25.641,90,0,0,0,0,0,0,0,0,62,2,2,2,0.0,0.0,0.0,0,0,37,48,77.1,5,28,0,1,1,740,108,13,15,86.7,21,27,77.8,3,5,60.0,0.0,0,2,0,0,47,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,4,50.0,2,0,2,4,3,0,2,11,44,7,2,62,100.0,0,0.0,89,16,0,0,2,0,28,2,0,2,1,0,0,0,0,5,4,5,44.4
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Marvin Plattenhardt,0–1,66.67,30.0,21,GER,LB,28.858,90,0,0,0,0,0,0,0,0,98,4,0,1,0.0,0.0,0.0,5,1,70,87,80.5,13,70,10,2,1,1151,466,34,35,97.1,31,38,81.6,4,11,36.4,0.1,0,9,1,0,73,14,1,0,1,8,9,4,1,2,0,0,1,3,0,2,2,1,2,50.0,1,0,1,4,0,0,1,14,65,21,0,98,50.0,1,50.0,489,338,1,0,1,1,64,3,0,0,0,0,0,0,0,9,1,1,50.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Jordan Torunarigha,0–1,83.33,20.0,25,GER,CB,23.326,90,0,0,0,0,0,0,0,0,102,1,1,0,0.0,0.0,0.0,0,0,84,95,88.4,4,80,1,0,0,1767,620,18,22,81.8,56,61,91.8,10,12,83.3,0.0,0,4,0,0,95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,2,2,0,2,39,59,4,3,102,,0,,489,232,1,0,3,1,83,0,0,0,0,0,0,0,0,4,3,1,75.0
10,Fri,2020-12-04,20:30 ,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Bundesliga,10,Bruno Labbadia,Hertha BSC,4-2-3-1,Dedryck Boyata,0–1,66.67,15.0,20,BEL,CB,30.016,90,0,0,0,0,0,0,0,0,118,0,1,1,0.0,0.0,0.0,0,0,106,113,93.8,3,101,1,0,0,2485,623,19,20,95.0,67,69,97.1,20,24,83.3,0.1,0,5,0,0,111,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,0,3,52,65,1,1,118,,0,,485,254,0,0,0,0,101,1,0,1,0,0,0,0,0,10,2,0,100.0
