dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2023-08-18,20:30 ,Werder Bremen,0.6,0–4,2.8,Bayern Munich,"42,100",Wohninvest Weserstadion,Felix Zwayer,Bundesliga,1,Ole Werner,Werder Bremen,3-1-4-2,Jiří Pavlenka,cz CZE,31-126,90,10,4,6,60.0,2.9,6,11,54.5,23,6,34.8,33.7,13,23.1,29.6,13,1,7.7,0,4.0
Fri,2023-08-18,20:30 ,Werder Bremen,0.6,0–4,2.8,Bayern Munich,"42,100",Wohninvest Weserstadion,Felix Zwayer,Bundesliga,1,Thomas Tuchel,Bayern Munich,4-2-3-1,Sven Ulreich,de GER,35-015,90,1,0,1,100.0,0.3,2,8,25.0,31,4,25.8,28.1,5,0.0,19.2,8,1,12.5,2,20.3
Sat,2023-08-19,15:30 ,Leverkusen,1.4,3–2,1.6,RB Leipzig,"29,464",BayArena,Felix Brych,Bundesliga,1,Xabi Alonso,Leverkusen,3-4-3,Lukáš Hrádecký,fi FIN,33-268,90,6,2,4,66.7,1.5,7,13,53.8,19,4,52.6,40.9,6,50.0,43.2,11,2,18.2,1,12.4
Sat,2023-08-19,15:30 ,Leverkusen,1.4,3–2,1.6,RB Leipzig,"29,464",BayArena,Felix Brych,Bundesliga,1,Marco Rose,RB Leipzig,4-2-2-2,Janis Blaswich,de GER,32-109,90,7,3,4,57.1,2.8,1,6,16.7,44,6,13.6,26.7,6,0.0,17.5,13,1,7.7,5,21.9
Sat,2023-08-19,15:30 ,Wolfsburg,2.2,2–0,1.2,Heidenheim,"22,620",Volkswagen Arena,Florian Badstübner,Bundesliga,1,Niko Kovač,Wolfsburg,4-3-3,Koen Casteels,be BEL,31-055,90,1,0,1,100.0,0.1,7,14,50.0,37,5,27.0,31.8,6,66.7,46.0,19,2,10.5,2,16.8
Sat,2023-08-19,15:30 ,Wolfsburg,2.2,2–0,1.2,Heidenheim,"22,620",Volkswagen Arena,Florian Badstübner,Bundesliga,1,Frank Schmidt,Heidenheim,4-1-3-2,Kevin Müller,de GER,32-157,90,8,2,6,75.0,2.4,6,14,42.9,47,9,23.4,33.6,8,37.5,29.0,6,0,0.0,0,5.0
Sat,2023-08-19,15:30 ,Stuttgart,3.0,5–0,0.8,Bochum,"53,000",MHPArena,Daniel Siebert,Bundesliga,1,Sebastian Hoeneß,Stuttgart,4-2-3-1,Alexander Nübel,de GER,26-323,90,1,0,1,100.0,0.7,4,6,66.7,33,9,12.1,30.0,5,40.0,35.2,6,3,50.0,5,19.4
Sat,2023-08-19,15:30 ,Stuttgart,3.0,5–0,0.8,Bochum,"53,000",MHPArena,Daniel Siebert,Bundesliga,1,Thomas Letsch,Bochum,3-4-3,Manuel Riemann,de GER,34-344,90,9,5,4,44.4,4.5,8,24,33.3,40,6,50.0,36.1,8,50.0,37.0,21,0,0.0,2,22.0
Sat,2023-08-19,15:30 ,Augsburg,2.3,4–4,1.7,M'Gladbach,"30,660",WWK Arena,Daniel Schlager,Bundesliga,1,Enrico Maaßen,Augsburg,4-2-2-2,Finn Dahmen,de GER,25-145,90,5,4,1,40.0,2.7,3,10,30.0,43,2,16.3,23.8,5,60.0,47.0,13,0,0.0,4,23.4
Sat,2023-08-19,15:30 ,Augsburg,2.3,4–4,1.7,M'Gladbach,"30,660",WWK Arena,Daniel Schlager,Bundesliga,1,Gerardo Seoane,M'Gladbach,4-2-3-1,Jonas Omlin,ch SUI,29-221,90,7,4,3,57.1,2.7,5,20,25.0,33,3,48.5,40.7,6,66.7,49.7,20,0,0.0,1,11.8
Sat,2023-08-19,15:30 ,Hoffenheim,1.4,1–2,2.6,Freiburg,"25,890",PreZero Arena,Sven Jablonski,Bundesliga,1,Pellegrino Matarazzo,Hoffenheim,3-5-2,Oliver Baumann,de GER,33-078,90,7,2,6,71.4,1.8,6,14,42.9,31,10,22.6,29.2,10,70.0,44.3,18,0,0.0,1,17.8
Sat,2023-08-19,15:30 ,Hoffenheim,1.4,1–2,2.6,Freiburg,"25,890",PreZero Arena,Sven Jablonski,Bundesliga,1,Christian Streich,Freiburg,4-2-2-2,Noah Atubolu,de GER,21-086,90,4,1,3,75.0,0.6,5,25,20.0,38,6,52.6,42.3,7,71.4,54.0,15,0,0.0,0,8.5
Sat,2023-08-19,18:30 ,Dortmund,1.8,1–0,1.2,Köln,"81,365",Signal Iduna Park,Deniz Aytekin,Bundesliga,1,Edin Terzić,Dortmund,4-2-3-1,Gregor Kobel,ch SUI,25-256,90,4,0,4,100.0,1.5,1,1,100.0,27,5,0.0,18.5,7,14.3,23.4,12,0,0.0,0,12.0
Sat,2023-08-19,18:30 ,Dortmund,1.8,1–0,1.2,Köln,"81,365",Signal Iduna Park,Deniz Aytekin,Bundesliga,1,Steffen Baumgart,Köln,4-2-3-1,Marvin Schwäbe,de GER,28-116,90,2,1,1,50.0,0.7,4,11,36.4,27,5,37.0,31.7,2,50.0,37.5,13,0,0.0,0,7.0
