dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Sergio Asenjo,es ESP,30-119,90,3,1,2,66.7,0.5,1,7,14.3,18,3,16.7,28.5,8,50.0,41.4,11,0,0.0,0,
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Asier Garitano,Alavés,4-4-2,Fernando Pacheco,es ESP,27-160,90,8,4,4,50.0,2.9,13,20,65.0,19,4,63.2,42.7,8,100.0,58.9,10,0,0.0,1,26.0
Sat,2019-10-26,16:00 ,Leganés,1.7,1–0,0.8,Mallorca,"10,058",Estadio Municipal de Butarque,Eduardo Prieto ,La-Liga,10,Luis Cembranos,Leganés,4-3-3,Iván Cuéllar,es ESP,35-152,90,1,0,1,100.0,0.1,11,19,57.9,16,1,81.3,55.2,7,85.7,59.7,18,0,0.0,0,9.5
Sat,2019-10-26,16:00 ,Leganés,1.7,1–0,0.8,Mallorca,"10,058",Estadio Municipal de Butarque,Eduardo Prieto ,La-Liga,10,Vicente Moreno,Mallorca,4-3-3,Manolo Reina,es ESP,34-208,90,3,1,2,66.7,1.2,5,14,35.7,33,4,36.4,33.1,8,25.0,40.9,10,1,10.0,2,15.8
Sat,2019-10-26,18:30 ,Valladolid,1.7,2–0,0.6,Eibar,"20,036",Estadio Municipal José Zorrilla,José Luis Munuera,La-Liga,10,Sergio,Valladolid,4-4-2,Jordi Masip,es ESP,30-296,90,3,0,3,100.0,0.6,14,31,45.2,26,3,73.1,47.8,13,92.3,60.8,22,0,0.0,0,2.0
Sat,2019-10-26,18:30 ,Valladolid,1.7,2–0,0.6,Eibar,"20,036",Estadio Municipal José Zorrilla,José Luis Munuera,La-Liga,10,Mendilibar,Eibar,4-3-3,Marko Dmitrović,rs SRB,27-275,90,4,2,2,50.0,2.1,7,14,50.0,29,10,41.4,37.5,2,100.0,64.5,6,0,0.0,2,24.7
Sat,2019-10-26,21:00 ,Atlético Madrid,1.5,2–0,0.4,Athletic Club,"59,211",Estadio Wanda Metropolitano,Alejandro Hernández,La-Liga,10,Diego Simeone,Atlético Madrid,4-4-2,Jan Oblak,si SVN,26-292,90,2,0,2,100.0,0.8,8,16,50.0,11,0,54.5,41.9,10,100.0,64.8,19,1,5.3,0,8.0
Sat,2019-10-26,21:00 ,Atlético Madrid,1.5,2–0,0.4,Athletic Club,"59,211",Estadio Wanda Metropolitano,Alejandro Hernández,La-Liga,10,Gaizka Garitano,Athletic Club,4-2-3-1,Unai Simón,es ESP,22-137,90,2,2,0,0.0,1.0,6,14,42.9,20,8,40.0,36.0,9,66.7,52.8,15,1,6.7,2,20.0
Sun,2019-10-27,12:00 ,Celta Vigo,0.9,0–1,0.8,Real Sociedad,"18,002",Estadio de Balaídos,Valentín Pizarro,La-Liga,10,Fran Escribá,Celta Vigo,4-4-2,Rubén Blanco,es ESP,24-094,90,4,1,3,75.0,1.8,7,22,31.8,20,2,60.0,42.7,11,90.9,63.7,16,0,0.0,0,
Sun,2019-10-27,12:00 ,Celta Vigo,0.9,0–1,0.8,Real Sociedad,"18,002",Estadio de Balaídos,Valentín Pizarro,La-Liga,10,Imanol Alguacil,Real Sociedad,4-2-3-1,Álex Remiro,es ESP,24-217,90,1,0,1,100.0,0.0,4,11,36.4,28,4,32.1,32.8,7,28.6,38.0,14,0,0.0,6,21.4
