dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Karl Toko Ekambi,1–0,50.0,45.0,17,CMR,FW,27.112,85,2,0,0,0,2,2,0,0,31,2,0,0,1.1,1.1,0.0,1,1,20,24,83.3,0,21,1,2,2,341,31,9,12,75.0,8,8,100.0,2,2,100.0,0.0,0,0,0,0,22,2,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,1,100.0,0,0,0,2,0,0,0,1,16,14,5,31,100.0,0,0.0,136,42,1,2,1,1,27,9,0,0,3,1,0,0,0,1,0,2,0.0
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,   Javier Ontiveros,1–0,9999.0,9999.0,24,ESP,LW,22.126,5,1,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,6,0,0,0,58,39,1,2,50.0,0,0,,1,1,100.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,4,2,1,0,7,,0,,25,17,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Moi Gómez,1–0,16.67,30.0,23,ESP,LM,25.34,78,0,1,0,0,2,1,0,0,54,1,1,0,0.1,0.1,0.8,6,1,39,47,83.0,6,37,4,9,7,588,135,23,25,92.0,7,8,87.5,5,6,83.3,0.1,1,1,1,1,46,1,0,0,2,4,0,1,0,0,0,0,2,1,0,0,1,1,1,100.0,0,0,0,2,1,0,1,8,16,31,5,54,77.8,2,22.2,266,148,3,1,0,1,41,8,0,1,2,1,0,0,0,6,1,2,33.3
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,   Manu Trigueros,1–0,9999.0,9999.0,14,ESP,"DM,LM",28.022,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,3,0,0,0,80,51,4,4,100.0,2,2,100.0,0,0,,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,2,6,1,1,0,8,,0,,13,8,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Santi Cazorla,1–0,33.33,30.0,8,ESP,"CM,AM",34.866,90,0,1,0,0,4,1,0,0,83,4,1,1,0.2,0.2,0.8,9,2,51,68,75.0,12,41,3,5,3,1053,273,14,17,82.4,20,23,87.0,12,16,75.0,0.5,4,7,4,0,57,7,3,0,1,3,1,3,0,2,0,4,1,1,1,1,2,3,5,60.0,2,0,1,5,0,0,0,6,44,37,3,83,60.0,2,40.0,186,96,4,0,5,1,59,5,0,4,2,0,0,0,0,6,0,0,
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Andre-Frank Zambo Anguissa,1–0,33.33,30.0,19,CMR,CM,23.94,60,0,0,0,0,2,0,0,0,36,1,0,1,0.0,0.0,0.0,1,0,24,29,82.8,0,19,2,0,0,409,65,12,16,75.0,8,9,88.9,3,3,100.0,0.0,0,2,0,0,28,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1,1,1,0,1,6,20,10,0,36,,0,,129,56,1,0,2,0,24,1,0,0,0,0,0,0,0,1,2,1,66.7
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,   Samuel Chukwueze,1–0,9999.0,9999.0,11,NGA,"RM,RW",20.427,30,0,0,0,0,1,1,0,0,15,0,0,1,0.1,0.1,0.0,2,1,8,12,66.7,3,10,1,0,0,171,44,4,4,100.0,2,4,50.0,2,2,100.0,0.0,1,2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,1,0,1,0,1,1,6,8,4,15,,0,,52,23,0,1,0,0,12,5,0,1,2,0,0,0,0,2,0,1,0.0
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Gerard Moreno,1–0,25.0,45.0,7,ESP,"RM,FW",27.551,90,1,1,0,0,5,2,0,0,49,0,0,1,0.8,0.8,0.5,5,1,22,33,66.7,2,34,6,3,3,435,95,7,10,70.0,11,16,68.8,4,5,80.0,0.1,3,1,0,0,32,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,,0,0,1,0,3,0,2,6,22,22,5,49,100.0,0,0.0,212,131,3,3,2,1,39,11,0,2,1,1,0,0,0,1,2,2,50.0
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Vicente Iborra,1–0,50.0,25.0,10,ESP,"DM,CM",31.773,90,0,0,0,0,1,0,0,0,58,1,0,2,0.0,0.0,0.1,2,1,45,49,91.8,4,27,0,1,1,914,214,18,20,90.0,19,21,90.5,7,7,100.0,0.0,1,3,0,0,46,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,1,2,0,2,10,40,8,2,58,100.0,0,0.0,74,12,0,0,3,1,36,0,0,1,0,0,0,0,0,6,3,2,60.0
Fri,2019-10-25,21:00 ,Villarreal,2.5,4–1,0.8,Alavés,"16,049",Estadio de la Cerámica,David Medié,La-Liga,10,Javier Calleja,Villarreal,4-1-4-1,Alberto Moreno,1–0,16.67,30.0,18,ESP,LB,27.307,90,0,0,0,0,1,0,0,0,87,3,3,0,0.0,0.0,0.0,4,1,62,72,86.1,6,32,3,2,0,891,289,34,36,94.4,19,23,82.6,5,6,83.3,0.0,2,3,1,0,53,19,2,0,0,2,17,0,0,0,0,0,1,2,3,0,0,2,2,100.0,0,0,0,6,3,0,4,30,35,22,1,87,0.0,2,100.0,142,69,1,1,1,2,46,3,0,0,0,0,0,0,0,4,0,2,0.0
