dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2020-09-12,16:00 ,Eibar,0.4,0–0,0.6,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,La-Liga,1,Mendilibar,Eibar,4-4-2,Marko Dmitrović,rs SRB,28-232,90,3,0,3,100.0,0.4,14,26,53.8,25,5,80.0,54.9,7,85.7,67.9,8,0,0.0,2,33.0
Sat,2020-09-12,16:00 ,Eibar,0.4,0–0,0.6,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,La-Liga,1,Óscar García,Celta Vigo,4-3-3,Iván Villar,es ESP,23-065,90,1,0,1,100.0,0.2,5,20,25.0,21,3,61.9,47.6,11,63.6,48.7,15,0,0.0,2,15.5
Sat,2020-09-12,18:30 ,Granada,0.4,2–0,0.5,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,La-Liga,1,Diego Martínez,Granada,4-2-3-1,Rui Silva,pt POR,26-218,90,2,0,2,100.0,0.4,8,21,38.1,26,1,61.5,45.2,11,45.5,38.8,23,0,0.0,1,15.8
Sat,2020-09-12,18:30 ,Granada,0.4,2–0,0.5,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,La-Liga,1,Gaizka Garitano,Athletic Club,4-2-3-1,Unai Simón,es ESP,23-093,90,2,2,0,0.0,0.9,10,21,47.6,41,8,43.9,34.4,3,100.0,61.0,6,1,16.7,3,17.7
Sat,2020-09-12,21:00 ,Cádiz,0.7,0–2,0.8,Osasuna,,Estadio Ramón de Carranza,Isidro Díaz de Mera,La-Liga,1,Álvaro Cervera,Cádiz,4-2-3-1,David Gil,es ESP,26-245,90,4,2,2,50.0,1.2,4,29,13.8,29,3,72.4,46.8,9,88.9,60.1,8,0,0.0,0,10.7
Sat,2020-09-12,21:00 ,Cádiz,0.7,0–2,0.8,Osasuna,,Estadio Ramón de Carranza,Isidro Díaz de Mera,La-Liga,1,Jagoba Arrasate,Osasuna,4-4-2,Sergio Herrera,es ESP,27-099,90,3,0,3,100.0,0.8,11,28,39.3,23,2,78.3,49.6,10,100.0,64.4,19,0,0.0,0,3.0
Sun,2020-09-13,14:00 ,Alavés,1.2,0–1,0.4,Betis,,Estadio de Mendizorroza,Pablo González,La-Liga,1,Pablo Machín,Alavés,3-1-4-2,Fernando Pacheco,es ESP,28-118,90,4,1,3,75.0,0.3,4,8,50.0,23,6,30.4,33.2,6,16.7,28.7,10,0,0.0,1,31.0
Sun,2020-09-13,14:00 ,Alavés,1.2,0–1,0.4,Betis,,Estadio de Mendizorroza,Pablo González,La-Liga,1,Manuel Pellegrini,Betis,4-2-3-1,Claudio Bravo,cl CHI,37-153,90,2,0,2,100.0,1.0,6,20,30.0,27,4,63.0,45.5,4,75.0,54.5,10,0,0.0,1,27.0
Sun,2020-09-13,16:00 ,Valladolid,0.8,1–1,0.3,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,La-Liga,1,Sergio,Valladolid,4-2-3-1,Jordi Masip,es ESP,31-254,90,2,1,1,50.0,0.3,10,29,34.5,26,3,57.7,43.4,15,93.3,63.5,14,1,7.1,0,9.0
Sun,2020-09-13,16:00 ,Valladolid,0.8,1–1,0.3,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,La-Liga,1,Imanol Alguacil,Real Sociedad,4-1-4-1,Álex Remiro,es ESP,25-173,90,2,1,1,50.0,0.7,4,5,80.0,19,4,21.1,27.5,8,12.5,28.4,14,0,0.0,2,14.8
Sun,2020-09-13,18:30 ,Villarreal,2.5,1–1,0.6,Huesca,,Estadio de la Cerámica,Daniel Ask,La-Liga,1,Unai Emery,Villarreal,4-4-1-1,Sergio Asenjo,es ESP,31-077,90,3,1,2,66.7,0.9,3,9,33.3,23,5,34.8,35.1,8,12.5,25.9,13,2,15.4,1,9.5
Sun,2020-09-13,18:30 ,Villarreal,2.5,1–1,0.6,Huesca,,Estadio de la Cerámica,Daniel Ask,La-Liga,1,Michel,Huesca,4-2-3-1,Andrés Fernández,es ESP,33-271,90,4,1,3,100.0,2.4,8,16,50.0,24,6,50.0,36.3,7,57.1,44.0,23,0,0.0,0,5.0
Sun,2020-09-13,21:00 ,Valencia,1.9,4–2,2.0,Levante,,Estadio de Mestalla,José Sánchez,La-Liga,1,Javi Gracia,Valencia,4-4-2,Jaume Doménech,es ESP,29-313,90,8,2,6,75.0,2.6,10,25,40.0,20,3,70.0,41.4,16,68.8,51.8,16,0,0.0,0,13.0
Sun,2020-09-13,21:00 ,Valencia,1.9,4–2,2.0,Levante,,Estadio de Mestalla,José Sánchez,La-Liga,1,Paco López,Levante,4-4-2,Aitor Fernández,es ESP,29-133,90,8,4,4,50.0,3.3,3,9,33.3,20,6,35.0,32.6,7,28.6,28.1,9,0,0.0,2,17.3
Sat,2020-09-19,16:00 ,Villarreal,2.7,2–1,1.5,Eibar,,Estadio de la Cerámica,Jorge Figueroa,La-Liga,2,Unai Emery,Villarreal,4-4-2,Sergio Asenjo,es ESP,31-083,90,4,1,3,75.0,1.7,6,20,30.0,30,3,50.0,39.0,10,50.0,39.2,16,0,0.0,1,14.3
Sat,2020-09-19,16:00 ,Villarreal,2.7,2–1,1.5,Eibar,,Estadio de la Cerámica,Jorge Figueroa,La-Liga,2,Mendilibar,Eibar,4-3-3,Marko Dmitrović,rs SRB,28-239,90,7,2,5,71.4,3.0,12,28,42.9,30,5,66.7,48.1,8,100.0,77.8,12,0,0.0,2,23.5
Sat,2020-09-19,18:30 ,Getafe,0.6,1–0,0.5,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,La-Liga,2,Pepe Bordalás,Getafe,4-4-2,David Soria,es ESP,27-168,90,3,0,3,100.0,0.7,9,31,29.0,36,2,72.2,45.8,10,50.0,40.4,7,1,14.3,1,15.3
Sat,2020-09-19,18:30 ,Getafe,0.6,1–0,0.5,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,La-Liga,2,Jagoba Arrasate,Osasuna,4-4-2,Sergio Herrera,es ESP,27-106,90,1,1,0,0.0,0.6,9,31,29.0,32,5,75.0,49.7,8,87.5,62.9,22,1,4.5,3,18.4
Sat,2020-09-19,21:00 ,Celta Vigo,2.0,2–1,0.5,Valencia,,Estadio de Balaídos,Jesús Gil,La-Liga,2,Óscar García,Celta Vigo,4-4-2,Iván Villar,es ESP,23-072,90,3,1,2,66.7,1.0,2,11,18.2,20,4,40.0,33.3,5,60.0,50.6,21,1,4.8,0,8.0
Sat,2020-09-19,21:00 ,Celta Vigo,2.0,2–1,0.5,Valencia,,Estadio de Balaídos,Jesús Gil,La-Liga,2,Javi Gracia,Valencia,4-4-2,Jaume Doménech,es ESP,29-319,90,6,2,4,66.7,3.3,12,19,63.2,25,5,52.0,38.0,9,66.7,52.4,15,0,0.0,1,20.7
Sun,2020-09-20,16:00 ,Huesca,0.3,0–2,1.2,Cádiz,,Estadio El Alcoraz,César Soto,La-Liga,2,Michel,Huesca,4-2-3-1,Andrés Fernández,es ESP,33-278,90,4,2,2,50.0,1.6,3,7,42.9,23,4,26.1,25.4,3,33.3,38.3,9,1,11.1,1,14.5
Sun,2020-09-20,16:00 ,Huesca,0.3,0–2,1.2,Cádiz,,Estadio El Alcoraz,César Soto,La-Liga,2,Álvaro Cervera,Cádiz,4-2-3-1,Alberto Cifuentes,es ESP,41-114,90,1,0,0,100.0,0.2,7,33,21.2,28,1,92.9,58.5,7,100.0,67.3,17,0,0.0,0,
Sun,2020-09-20,18:30 ,Granada,2.2,2–1,0.7,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro,La-Liga,2,Diego Martínez,Granada,4-2-3-1,Rui Silva,pt POR,26-226,90,3,1,2,66.7,1.0,4,17,23.5,26,4,50.0,40.2,6,66.7,47.7,14,1,7.1,2,16.5
Sun,2020-09-20,18:30 ,Granada,2.2,2–1,0.7,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro,La-Liga,2,Pablo Machín,Alavés,3-5-2,Fernando Pacheco,es ESP,28-125,90,3,2,1,33.3,1.9,6,16,37.5,13,2,69.2,46.2,10,70.0,45.0,18,0,0.0,2,16.0
Sun,2020-09-20,18:30 ,Betis,1.6,2–0,0.4,Valladolid,,Estadio Benito Villamarín,Santiago Jaime,La-Liga,2,Manuel Pellegrini,Betis,4-2-3-1,Claudio Bravo,cl CHI,37-160,90,2,0,2,100.0,0.5,4,15,26.7,21,4,61.9,48.2,2,100.0,62.0,13,0,0.0,0,
Sun,2020-09-20,18:30 ,Betis,1.6,2–0,0.4,Valladolid,,Estadio Benito Villamarín,Santiago Jaime,La-Liga,2,Sergio,Valladolid,4-2-3-1,Roberto,es ESP,34-223,90,6,2,4,83.3,1.7,6,19,31.6,25,4,48.0,41.9,9,77.8,54.7,14,0,0.0,1,35.0
Sun,2020-09-20,21:00 ,Real Sociedad,0.6,0–0,0.9,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez,La-Liga,2,Imanol Alguacil,Real Sociedad,4-4-2,Álex Remiro,es ESP,25-180,90,4,0,4,100.0,0.3,8,16,50.0,29,3,37.9,34.7,7,71.4,45.6,18,0,0.0,3,24.5
Sun,2020-09-20,21:00 ,Real Sociedad,0.6,0–0,0.9,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez,La-Liga,2,Zinédine Zidane,Real Madrid,4-2-3-1,Thibaut Courtois,be BEL,28-132,90,1,0,1,100.0,0.4,2,9,22.2,31,4,19.4,29.7,6,50.0,36.8,7,0,0.0,0,
Sat,2020-09-26,13:00 ,Alavés,1.3,0–0,1.1,Getafe,,Estadio de Mendizorroza,Alberola Rojas,La-Liga,3,Pablo Machín,Alavés,4-4-2,Fernando Pacheco,es ESP,28-131,90,4,0,4,100.0,0.4,16,26,61.5,23,1,82.6,51.6,7,100.0,63.6,18,1,5.6,4,18.5
