gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2021-08-06,21:00 ,Monaco,1.5,1–1,0.2,Nantes,"7,500",Stade Louis II.,Antony Gautier,Ligue-1,1,Niko Kovač,Monaco,4-4-2,Alexander Nübel,de GER,24-310,90,1,1,0,0.0,0.5,0,0,,13,2,0.0,18.1,5,0.0,24.4,6,0,0.0,2,28.5
1,Fri,2021-08-06,21:00 ,Monaco,1.5,1–1,0.2,Nantes,"7,500",Stade Louis II.,Antony Gautier,Ligue-1,1,Antoine Kombouare,Nantes,4-1-4-1,Alban Lafont,fr FRA,22-195,90,2,1,1,50.0,0.8,5,19,26.3,8,2,50.0,42.5,15,100.0,65.5,17,0,0.0,0,
1,Sat,2021-08-07,17:00 ,Lyon,1.4,1–1,0.8,Brest,"29,018",Groupama Stadium,Mikael Lesage,Ligue-1,1,Peter Bosz,Lyon,4-3-3,Anthony Lopes,pt POR,30-310,90,7,1,6,85.7,0.8,2,2,100.0,20,5,10.0,22.8,5,0.0,20.8,13,0,0.0,0,3.0
1,Sat,2021-08-07,17:00 ,Lyon,1.4,1–1,0.8,Brest,"29,018",Groupama Stadium,Mikael Lesage,Ligue-1,1,Michel Der Zakarian,Brest,4-2-3-1,Marco Bizot,nl NED,30-150,90,4,1,3,75.0,0.3,7,14,50.0,29,6,37.9,37.9,10,30.0,35.3,18,1,5.6,0,8.3
1,Sat,2021-08-07,21:00 ,Troyes,0.9,1–2,1.2,Paris S-G,"15,248",Stade de l'Aube,Amaury Delerue,Ligue-1,1,Laurent Batlles,Troyes,5-4-1,Gauthier Gallon,fr FRA,28-106,90,2,2,0,0.0,0.9,4,9,44.4,24,3,33.3,29.8,8,12.5,16.4,9,0,0.0,0,23.0
1,Sat,2021-08-07,21:00 ,Troyes,0.9,1–2,1.2,Paris S-G,"15,248",Stade de l'Aube,Amaury Delerue,Ligue-1,1,Mauricio Pochettino,Paris S-G,4-4-2,Keylor Navas,cr CRC,34-235,90,7,1,6,85.7,1.1,1,1,100.0,15,7,6.7,24.9,6,0.0,25.0,17,0,0.0,1,14.0
1,Sun,2021-08-08,13:00 ,Rennes,0.7,1–1,2.1,Lens,"22,567",Roazhon Park,Bastien Dechepy,Ligue-1,1,Bruno Génésio,Rennes,4-3-3,Alfred Gomis,sn SEN,27-337,90,6,1,5,83.3,2.9,2,7,28.6,34,9,14.7,23.8,7,28.6,32.3,17,0,0.0,1,26.0
1,Sun,2021-08-08,13:00 ,Rennes,0.7,1–1,2.1,Lens,"22,567",Roazhon Park,Bastien Dechepy,Ligue-1,1,Franck Haise,Lens,3-4-1-2,Jean-Louis Leca,fr FRA,35-321,90,2,1,1,50.0,0.7,6,15,40.0,25,4,40.0,37.5,7,71.4,50.3,7,0,0.0,0,13.0
1,Sun,2021-08-08,15:00 ,Bordeaux,0.7,0–2,3.1,Clermont Foot,"18,748",Stade Matmut-Atlantique,Florent Batta,Ligue-1,1,Vladimir Petković,Bordeaux,4-2-3-1,Benoît Costil,fr FRA,34-036,90,10,2,8,80.0,2.6,6,17,35.3,27,2,48.1,38.8,6,66.7,45.7,14,0,0.0,0,14.0
1,Sun,2021-08-08,15:00 ,Bordeaux,0.7,0–2,3.1,Clermont Foot,"18,748",Stade Matmut-Atlantique,Florent Batta,Ligue-1,1,Pascal Gastien,Clermont Foot,4-2-3-1,Arthur Desmas,fr FRA,27-123,90,6,0,6,100.0,0.6,0,2,0.0,12,4,16.7,22.3,5,0.0,9.4,15,0,0.0,0,
1,Sun,2021-08-08,15:00 ,Strasbourg,0.3,0–2,0.9,Angers,"23,250",Stade de la Meinau,Jeremy Stinat,Ligue-1,1,Julien Stéphan,Strasbourg,4-4-2,Matz Sels,be BEL,29-163,90,2,2,0,0.0,1.3,5,10,50.0,26,2,38.5,34.1,4,0.0,16.3,6,0,0.0,0,13.7
1,Sun,2021-08-08,15:00 ,Strasbourg,0.3,0–2,0.9,Angers,"23,250",Stade de la Meinau,Jeremy Stinat,Ligue-1,1,Gérald Baticle,Angers,3-4-1-2,Paul Bernardoni,fr FRA,24-112,90,1,0,1,100.0,0.2,12,20,60.0,23,5,52.2,40.3,9,88.9,56.6,22,3,13.6,7,16.7
1,Sun,2021-08-08,15:00 ,Nice,0.8,0–0,0.2,Reims,"18,030",Stade de Nice,Johan Hamel,Ligue-1,1,Christophe Galtier,Nice,4-4-2,Walter Benítez,ar ARG,28-201,90,0,0,0,,0.0,0,6,0.0,19,4,31.6,28.1,4,0.0,24.3,4,0,0.0,0,15.0
1,Sun,2021-08-08,15:00 ,Nice,0.8,0–0,0.2,Reims,"18,030",Stade de Nice,Johan Hamel,Ligue-1,1,Óscar García,Reims,5-3-2,Predrag Rajković,rs SRB,25-281,90,2,0,2,100.0,0.1,2,15,13.3,20,6,40.0,35.2,10,70.0,56.9,13,0,0.0,1,15.0
1,Sun,2021-08-08,15:00 ,Saint-Étienne,1.9,1–1,0.6,Lorient,"20,461",Stade Geoffroy-Guichard,Thomas Léonard,Ligue-1,1,Claude Puel,Saint-Étienne,4-4-1-1,Etienne Green,eng ENG,21-020,90,3,1,2,66.7,0.1,6,8,75.0,20,6,25.0,30.2,7,42.9,34.4,8,0,0.0,4,18.9
1,Sun,2021-08-08,15:00 ,Saint-Étienne,1.9,1–1,0.6,Lorient,"20,461",Stade Geoffroy-Guichard,Thomas Léonard,Ligue-1,1,Christophe Pélissier,Lorient,5-3-2,Paul Nardi,fr FRA,27-082,90,3,1,2,100.0,1.2,5,22,22.7,15,2,73.3,50.9,12,91.7,63.7,25,1,4.0,1,15.0
