dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2022-08-05,21:00 ,Lyon,1.3,2–1,1.5,Ajaccio,"48,516",Matmut Stadium de Gerland,Benoît Bastien,Ligue-1,1,Peter Bosz,Lyon,4-3-3,Anthony Lopes,pt POR,31-308,26,,,,,0.0,,,,8,1,,20.8,5,,17.4,4,,,,
Fri,2022-08-05,21:00 ,Lyon,1.3,2–1,1.5,Ajaccio,"48,516",Matmut Stadium de Gerland,Benoît Bastien,Ligue-1,1,Peter Bosz,Lyon,4-3-3,Rémy Riou,fr FRA,34-364,61,4,1,3,100.0,1.2,1,4,25.0,22,6,4.5,23.9,5,60.0,42.4,7,0,0.0,1,25.0
Fri,2022-08-05,21:00 ,Lyon,1.3,2–1,1.5,Ajaccio,"48,516",Matmut Stadium de Gerland,Benoît Bastien,Ligue-1,1,Olivier Pantaloni,Ajaccio,4-4-2,Benjamin Leroy,fr FRA,33-120,90,6,2,4,83.3,1.7,5,11,45.5,18,4,44.4,38.6,4,75.0,46.5,5,2,40.0,3,13.4
Sat,2022-08-06,17:00 ,Strasbourg,0.8,1–2,2.8,Monaco,"25,359",Stade de la Meinau,François Letexier,Ligue-1,1,Julien Stéphan,Strasbourg,3-4-1-2,Matz Sels,be BEL,30-161,90,11,2,9,81.8,3.6,4,12,33.3,37,6,27.0,30.4,10,20.0,30.6,19,1,5.3,2,12.4
Sat,2022-08-06,17:00 ,Strasbourg,0.8,1–2,2.8,Monaco,"25,359",Stade de la Meinau,François Letexier,Ligue-1,1,Philippe Clement,Monaco,4-2-3-1,Alexander Nübel,de GER,25-310,90,7,1,6,85.7,2.7,8,16,50.0,24,6,58.3,41.7,3,66.7,42.3,16,1,6.3,3,21.0
Sat,2022-08-06,21:00 ,Clermont Foot,0.3,0–5,3.5,Paris S-G,"12,203",Stade Gabriel Montpied,Jeremy Stinat,Ligue-1,1,Pascal Gastien,Clermont Foot,4-2-3-1,Mory Diaw,sn SEN,29-045,90,12,5,7,58.3,4.6,4,11,36.4,26,5,34.6,34.4,4,50.0,42.5,11,0,0.0,0,5.3
Sat,2022-08-06,21:00 ,Clermont Foot,0.3,0–5,3.5,Paris S-G,"12,203",Stade Gabriel Montpied,Jeremy Stinat,Ligue-1,1,Christophe Galtier,Paris S-G,3-4-3,Gianluigi Donnarumma,it ITA,23-162,90,1,0,1,100.0,0.1,0,1,0.0,27,5,3.7,18.7,2,0.0,15.0,2,0,0.0,1,19.5
Sun,2022-08-07,13:00 ,Toulouse,0.9,1–1,1.2,Nice,"20,567",Stadium Municipal,Johan Hamel,Ligue-1,1,Philippe Montanier,Toulouse,4-2-3-1,Maxime Dupé,fr FRA,29-156,90,4,1,3,75.0,1.0,6,12,50.0,38,6,23.7,27.1,7,42.9,33.3,8,0,0.0,0,8.0
Sun,2022-08-07,13:00 ,Toulouse,0.9,1–1,1.2,Nice,"20,567",Stadium Municipal,Johan Hamel,Ligue-1,1,Lucien Favre,Nice,4-3-3,Marcin Bułka,pl POL,22-307,90,3,1,2,66.7,1.4,0,2,0.0,22,7,4.5,21.8,8,12.5,28.0,16,2,12.5,2,15.0
Sun,2022-08-07,15:00 ,Lens,2.5,3–2,1.2,Brest,"37,015",Stade Bollaert-Delelis,Thomas Léonard,Ligue-1,1,Franck Haise,Lens,3-4-3,Brice Samba,fr FRA,28-104,90,4,2,2,75.0,1.7,2,7,28.6,25,7,28.0,31.0,3,0.0,18.7,11,1,9.1,0,7.0
