dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Sat,2021-08-21,18:30 ,Inter,1.6,4–0,1.1,Genoa,"27,402",Stadio Giuseppe Meazza,Valerio Marini,Serie-A,1,Simone Inzaghi,Inter,3-5-1-1,Samir Handanović,si SVN,37-038,90,4,0,4,100.0,0.3,3,3,100.0,24,2,12.5,24.2,0,,,8,0,0.0,0,
Sat,2021-08-21,18:30 ,Inter,1.6,4–0,1.1,Genoa,"27,402",Stadio Giuseppe Meazza,Valerio Marini,Serie-A,1,Davide Ballardini,Genoa,3-4-1-2,Salvatore Sirigu,it ITA,34-221,90,8,4,4,50.0,1.9,1,3,33.3,22,2,13.6,29.0,9,0.0,19.7,19,1,5.3,0,3.5
Sat,2021-08-21,18:30 ,Hellas Verona,2.4,2–3,1.6,Sassuolo,"5,448",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,1,Eusebio Di Francesco,Hellas Verona,3-4-3,Ivor Pandur,hr CRO,21-149,90,7,3,4,57.1,2.9,12,17,70.6,21,3,57.1,37.0,6,83.3,49.7,5,0,0.0,1,14.0
Sat,2021-08-21,18:30 ,Hellas Verona,2.4,2–3,1.6,Sassuolo,"5,448",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,1,Alessio Dionisi,Sassuolo,4-2-3-1,Andrea Consigli,it ITA,34-206,90,4,2,2,75.0,1.9,4,11,36.4,40,6,22.5,30.1,9,22.2,30.2,13,0,0.0,0,6.0
Sat,2021-08-21,20:45 ,Torino,1.3,1–2,0.7,Atalanta,"3,475",Stadio Olimpico di Torino,Daniele Chiffi,Serie-A,1,Ivan Jurić,Torino,3-4-3,Vanja Milinković-Savić,rs SRB,24-182,90,2,2,0,0.0,1.2,11,34,32.4,43,2,76.7,51.8,1,100.0,75.0,3,0,0.0,4,25.4
Sat,2021-08-21,20:45 ,Torino,1.3,1–2,0.7,Atalanta,"3,475",Stadio Olimpico di Torino,Daniele Chiffi,Serie-A,1,Gian Piero Gasperini,Atalanta,3-4-3,Juan Musso,ar ARG,27-107,90,7,1,6,85.7,0.7,11,21,52.4,34,6,35.3,31.3,9,100.0,64.2,12,0,0.0,5,27.2
Sat,2021-08-21,20:45 ,Empoli,1.2,1–3,1.5,Lazio,"3,655",Stadio Carlo Castellani,Simone Sozza,Serie-A,1,Aurelio Andreazzoli,Empoli,4-1-2-1-2,Guglielmo Vicario,it ITA,24-318,90,4,3,1,50.0,2.1,0,3,0.0,28,4,10.7,24.7,4,0.0,19.0,7,0,0.0,0,5.8
Sat,2021-08-21,20:45 ,Empoli,1.2,1–3,1.5,Lazio,"3,655",Stadio Carlo Castellani,Simone Sozza,Serie-A,1,Maurizio Sarri,Lazio,4-3-3,Pepe Reina,es ESP,38-355,90,3,1,2,66.7,0.9,7,10,70.0,31,6,25.8,32.8,8,25.0,29.6,13,0,0.0,0,
Sun,2021-08-22,18:30 ,Bologna,1.6,3–2,1.5,Salernitana,"8,375",Stadio Renato Dall'Ara,Antonio Rapuano,Serie-A,1,Siniša Mihajlović,Bologna,4-2-3-1,Łukasz Skorupski,pl POL,30-109,90,4,2,2,75.0,1.9,3,5,60.0,14,3,28.6,29.4,6,16.7,24.8,13,2,15.4,0,9.7
Sun,2021-08-22,18:30 ,Bologna,1.6,3–2,1.5,Salernitana,"8,375",Stadio Renato Dall'Ara,Antonio Rapuano,Serie-A,1,Fabrizio Castori,Salernitana,3-5-2,Vid Belec,si SVN,31-077,90,7,3,4,57.1,1.0,4,15,26.7,11,3,72.7,54.2,7,100.0,66.4,13,0,0.0,0,4.0
