gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Sat,2022-08-13,18:30 ,Sampdoria,1.0,0–2,2.2,Atalanta,"20,047",Stadio Comunale Luigi Ferraris,Federico Dionisi,Serie-A,1,Marco Giampaolo,Sampdoria,4-1-4-1,Emil Audero,it ITA,25-207,90,3,2,1,33.3,1.7,3,12,25.0,41,7,26.8,36.1,4,25.0,36.5,7,1,14.3,0,4.3
1,Sat,2022-08-13,18:30 ,Sampdoria,1.0,0–2,2.2,Atalanta,"20,047",Stadio Comunale Luigi Ferraris,Federico Dionisi,Serie-A,1,Gian Piero Gasperini,Atalanta,3-4-1-2,Juan Musso,ar ARG,28-099,90,1,0,1,100.0,0.3,8,20,40.0,29,8,41.4,36.5,10,80.0,51.4,18,1,5.6,1,21.5
1,Sat,2022-08-13,18:30 ,Milan,2.3,4–2,0.5,Udinese,"70,197",Stadio Giuseppe Meazza,Livio Marinelli,Serie-A,1,Stefano Pioli,Milan,4-2-3-1,Mike Maignan,fr FRA,27-041,90,4,2,2,50.0,0.4,4,6,66.7,25,5,24.0,30.2,2,0.0,21.0,10,1,10.0,0,8.0
1,Sat,2022-08-13,18:30 ,Milan,2.3,4–2,0.5,Udinese,"70,197",Stadio Giuseppe Meazza,Livio Marinelli,Serie-A,1,Andrea Sottil,Udinese,3-5-2,Marco Silvestri,it ITA,31-164,90,5,4,1,40.0,3.0,5,9,55.6,20,10,40.0,34.8,10,10.0,22.8,16,0,0.0,2,16.7
1,Sat,2022-08-13,20:45 ,Monza,1.4,1–2,2.1,Torino,"10,739",U-Power Stadium,Maurizio Mariani,Serie-A,1,Giovanni Stroppa,Monza,3-5-2,Michele Di Gregorio,it ITA,25-017,90,6,2,4,66.7,4.0,4,16,25.0,71,10,22.5,28.1,4,0.0,23.3,11,3,27.3,1,13.5
1,Sat,2022-08-13,20:45 ,Monza,1.4,1–2,2.1,Torino,"10,739",U-Power Stadium,Maurizio Mariani,Serie-A,1,Ivan Jurić,Torino,3-4-3,Vanja Milinković-Savić,rs SRB,25-174,90,4,1,3,75.0,1.0,7,24,29.2,40,4,42.5,35.9,7,100.0,71.3,11,1,9.1,2,15.0
1,Sat,2022-08-13,20:45 ,Lecce,0.7,1–2,2.1,Inter,"25,353",Stadio Comunale Via Del Mare,Alessandro Prontera,Serie-A,1,Marco Baroni,Lecce,4-3-3,Wladimiro Falcone,it ITA,27-123,90,9,2,7,77.8,1.8,4,19,21.1,25,8,48.0,38.2,7,100.0,65.0,25,1,4.0,0,7.0
1,Sat,2022-08-13,20:45 ,Lecce,0.7,1–2,2.1,Inter,"25,353",Stadio Comunale Via Del Mare,Alessandro Prontera,Serie-A,1,Simone Inzaghi,Inter,3-5-2,Samir Handanović,si SVN,38-030,90,4,1,3,75.0,1.3,5,7,71.4,29,5,24.1,27.4,6,0.0,23.7,9,1,11.1,0,8.0
1,Sun,2022-08-14,18:30 ,Fiorentina,2.0,3–2,1.3,Cremonese,"34,461",Stadio Artemio Franchi,Juan Sacchi,Serie-A,1,Vincenzo Italiano,Fiorentina,4-3-3,Pierluigi Gollini,it ITA,27-149,90,4,2,2,50.0,1.2,7,14,50.0,42,6,31.0,32.9,3,33.3,33.0,11,1,9.1,0,6.0
1,Sun,2022-08-14,18:30 ,Fiorentina,2.0,3–2,1.3,Cremonese,"34,461",Stadio Artemio Franchi,Juan Sacchi,Serie-A,1,Massimiliano Alvini,Cremonese,3-4-1-2,Ionuț Radu,ro ROU,25-078,90,11,3,8,72.7,2.5,5,26,19.2,26,4,76.9,55.3,6,100.0,71.5,23,1,4.3,0,9.9
