dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek,manager,team,formation,name,ht_score,x,y,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Marvin Cuni,1–2,50.0,45.0,11,ALB,FW,22.11,66,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,12,0,2,0,134,6,8,8,100.0,4,4,100.0,0,0,,0.0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,13,7,2,21,0.0,1,50.0,38,2,0,0,3,1,18,6,0,1,2,0,0,0,0,2,1,2,33.3
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,   Gennaro Borrelli,1–2,9999.0,9999.0,9,ITA,FW,23.444,24,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,1,1,0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.0,11,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Giuseppe Caso,1–2,16.67,40.0,10,ITA,LW,24.693,66,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.0,2,0,13,14,92.9,5,15,2,5,3,139,83,10,10,100.0,2,3,66.7,0,0,,0.0,0,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,50.0,1,0,0,1,0,0,0,3,7,12,2,21,60.0,2,40.0,101,66,2,0,2,1,18,3,0,0,2,0,0,0,0,1,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,   Giorgi Kvernadze,1–2,9999.0,9999.0,17,GEO,LW,20.529,24,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,8,8,100.0,1,10,0,2,0,125,41,4,4,100.0,4,4,100.0,0,0,,0.0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,3,9,2,0,14,0.0,2,100.0,115,20,1,0,2,1,11,1,0,2,0,0,0,0,0,0,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Jaime Báez,1–2,83.33,40.0,7,URU,RW,28.318,74,0,0,0,0,2,0,0,0,30,0,0,3,0.1,0.1,0.0,1,1,16,21,76.2,4,14,2,0,0,234,120,11,14,78.6,4,4,100.0,1,2,50.0,0.0,0,2,1,0,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,3,0,0,0,3,6,12,12,4,30,,0,,60,42,0,1,1,2,21,8,0,1,3,0,1,0,0,6,1,3,25.0
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,   Luigi Canotto,1–2,9999.0,9999.0,19,ITA,RW,29.252,16,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,0,1,1,21,9,2,2,100.0,0,0,,0,0,,0.0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2,0,0,4,100.0,0,0.0,9,4,0,0,0,2,3,1,0,0,1,0,0,0,0,1,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Abdou Harroui,1–2,16.67,40.0,21,NED,LM,25.597,85,1,0,1,1,0,0,0,0,52,3,0,1,0.8,0.0,0.0,2,0,35,38,92.1,2,22,3,3,0,439,92,23,23,100.0,7,9,77.8,2,3,66.7,0.0,1,2,1,0,35,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2,50.0,1,0,1,3,0,0,1,11,33,10,2,51,0.0,3,100.0,162,74,1,1,2,0,34,4,0,2,1,1,0,0,0,6,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,   Enzo Barrenechea,1–2,9999.0,9999.0,45,ARG,LM,22.244,5,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,8,0,0,0,166,22,8,8,100.0,4,4,100.0,0,0,,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,8,0,0,12,,0,,40,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,Luca Mazzitelli,1–2,50.0,30.0,36,ITA,CM,27.759,74,0,0,0,0,0,0,1,0,61,0,0,2,0.0,0.0,0.0,1,0,44,54,81.5,5,24,1,2,1,591,152,27,29,93.1,11,13,84.6,3,7,42.9,0.0,0,1,0,0,50,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,2,0,3,0,6,15,44,2,0,61,50.0,1,50.0,140,51,0,0,1,0,51,0,0,2,2,0,0,0,0,2,0,0,
Sat,2023-08-19,18:30 ,Frosinone,0.9,1–3,1.5,Napoli,,Stadio Benito Stirpe,Matteo Marcenaro,Serie-A,1,Eusebio Di Francesco,Frosinone,4-3-3,   Marco Brescianini,1–2,9999.0,9999.0,4,ITA,CM,23.578,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,0,0,0,22,0,2,2,100.0,0,0,,0,0,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,6,,0,,9,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,
